5,1,34,3,5,"WeightedObservedPoint::WeightedObservedPoint@47-51@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed4/61/org.apache.commons.math.optimization.fitting.WeightedObservedPoint.java","/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed4/61/org.apache.commons.math.optimization.fitting.WeightedObservedPoint.java","WeightedObservedPoint::WeightedObservedPoint","WeightedObservedPoint::WeightedObservedPoint( final double weight , final double x , final double y)",47,51
3,1,8,0,3,"WeightedObservedPoint::getWeight@56-58@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed4/61/org.apache.commons.math.optimization.fitting.WeightedObservedPoint.java","/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed4/61/org.apache.commons.math.optimization.fitting.WeightedObservedPoint.java","WeightedObservedPoint::getWeight","WeightedObservedPoint::getWeight()",56,58
3,1,8,0,3,"WeightedObservedPoint::getX@63-65@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed4/61/org.apache.commons.math.optimization.fitting.WeightedObservedPoint.java","/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed4/61/org.apache.commons.math.optimization.fitting.WeightedObservedPoint.java","WeightedObservedPoint::getX","WeightedObservedPoint::getX()",63,65
3,1,8,0,3,"WeightedObservedPoint::getY@70-72@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed4/61/org.apache.commons.math.optimization.fitting.WeightedObservedPoint.java","/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed4/61/org.apache.commons.math.optimization.fitting.WeightedObservedPoint.java","WeightedObservedPoint::getY","WeightedObservedPoint::getY()",70,72
3,1,9,0,3,"Gamma::Gamma@67-69@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed4/61/org.apache.commons.math.special.Gamma.java","/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed4/61/org.apache.commons.math.special.Gamma.java","Gamma::Gamma","Gamma::Gamma()",67,69
18,4,149,1,22,"Gamma::logGamma@88-109@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed4/61/org.apache.commons.math.special.Gamma.java","/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed4/61/org.apache.commons.math.special.Gamma.java","Gamma::logGamma","Gamma::logGamma( double x)",88,109
5,1,26,2,5,"Gamma::regularizedGammaP@119-123@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed4/61/org.apache.commons.math.special.Gamma.java","/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed4/61/org.apache.commons.math.special.Gamma.java","Gamma::regularizedGammaP","Gamma::regularizedGammaP( double a , double x)",119,123
30,11,228,4,38,"Gamma::regularizedGammaP@152-189@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed4/61/org.apache.commons.math.special.Gamma.java","/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed4/61/org.apache.commons.math.special.Gamma.java","Gamma::regularizedGammaP","Gamma::regularizedGammaP( double a , double x , double epsilon , int maxIterations)",152,189
5,1,26,2,5,"Gamma::regularizedGammaQ@199-203@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed4/61/org.apache.commons.math.special.Gamma.java","/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed4/61/org.apache.commons.math.special.Gamma.java","Gamma::regularizedGammaQ","Gamma::regularizedGammaQ( double a , double x)",199,203
29,8,228,4,37,"Gamma::regularizedGammaQ@227-263@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed4/61/org.apache.commons.math.special.Gamma.java","/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed4/61/org.apache.commons.math.special.Gamma.java","Gamma::regularizedGammaQ","Gamma::regularizedGammaQ( final double a , double x , double epsilon , int maxIterations)",227,263
