,nloc,ccn,token_count,parameter_count,length,location,filepath,method_name,method_long_name,start_line,end_line
0,5,1,34,3,5,WeightedObservedPoint::WeightedObservedPoint@47-51@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.optimization.fitting.WeightedObservedPoint.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.optimization.fitting.WeightedObservedPoint.java,WeightedObservedPoint::WeightedObservedPoint,"WeightedObservedPoint::WeightedObservedPoint( final double weight , final double x , final double y)",47,51
1,3,1,8,0,3,WeightedObservedPoint::getWeight@56-58@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.optimization.fitting.WeightedObservedPoint.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.optimization.fitting.WeightedObservedPoint.java,WeightedObservedPoint::getWeight,WeightedObservedPoint::getWeight(),56,58
2,3,1,8,0,3,WeightedObservedPoint::getX@63-65@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.optimization.fitting.WeightedObservedPoint.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.optimization.fitting.WeightedObservedPoint.java,WeightedObservedPoint::getX,WeightedObservedPoint::getX(),63,65
3,3,1,8,0,3,WeightedObservedPoint::getY@70-72@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.optimization.fitting.WeightedObservedPoint.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.optimization.fitting.WeightedObservedPoint.java,WeightedObservedPoint::getY,WeightedObservedPoint::getY(),70,72
4,3,1,9,0,3,Gamma::Gamma@67-69@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.special.Gamma.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.special.Gamma.java,Gamma::Gamma,Gamma::Gamma(),67,69
5,17,4,146,1,21,Gamma::logGamma@88-108@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.special.Gamma.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.special.Gamma.java,Gamma::logGamma,Gamma::logGamma( double x),88,108
6,5,1,26,2,5,Gamma::regularizedGammaP@118-122@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.special.Gamma.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.special.Gamma.java,Gamma::regularizedGammaP,"Gamma::regularizedGammaP( double a , double x)",118,122
7,41,11,294,4,49,Gamma::regularizedGammaP@151-199@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.special.Gamma.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.special.Gamma.java,Gamma::regularizedGammaP,"Gamma::regularizedGammaP( double a , double x , double epsilon , int maxIterations)",151,199
8,5,1,26,2,5,Gamma::regularizedGammaQ@209-213@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.special.Gamma.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.special.Gamma.java,Gamma::regularizedGammaQ,"Gamma::regularizedGammaQ( double a , double x)",209,213
9,29,8,228,4,37,Gamma::regularizedGammaQ@237-273@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.special.Gamma.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.special.Gamma.java,Gamma::regularizedGammaQ,"Gamma::regularizedGammaQ( final double a , double x , double epsilon , int maxIterations)",237,273
10,10,4,98,1,18,Gamma::digamma@302-319@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.special.Gamma.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.special.Gamma.java,Gamma::digamma,Gamma::digamma( double x),302,319
11,10,4,98,1,16,Gamma::trigamma@331-346@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.special.Gamma.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.special.Gamma.java,Gamma::trigamma,Gamma::trigamma( double x),331,346
12,11,3,66,2,18,MathException::translate@58-75@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.MathException.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.MathException.java,MathException::translate,"MathException::translate( String s , Locale locale)",58,75
13,3,2,41,3,3,MathException::buildMessage@84-86@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.MathException.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.MathException.java,MathException::buildMessage,"MathException::buildMessage( Locale locale , String pattern , Object ... arguments)",84,86
14,6,1,31,0,6,MathException::MathException@92-97@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.MathException.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.MathException.java,MathException::MathException,MathException::MathException(),92,97
15,5,2,55,2,5,MathException::MathException@106-110@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.MathException.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.MathException.java,MathException::MathException,"MathException::MathException( String pattern , Object ... arguments)",106,110
16,5,1,30,1,5,MathException::MathException@119-123@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.MathException.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.MathException.java,MathException::MathException,MathException::MathException( Throwable rootCause),119,123
17,5,2,58,3,5,MathException::MathException@135-139@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.MathException.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.MathException.java,MathException::MathException,"MathException::MathException( Throwable rootCause , String pattern , Object ... arguments)",135,139
18,3,1,8,0,3,MathException::getPattern@146-148@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.MathException.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.MathException.java,MathException::getPattern,MathException::getPattern(),146,148
19,3,1,12,0,3,MathException::getArguments@155-157@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.MathException.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.MathException.java,MathException::getArguments,MathException::getArguments(),155,157
20,3,1,17,1,3,MathException::getMessage@166-168@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.MathException.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.MathException.java,MathException::getMessage,MathException::getMessage( Locale locale),166,168
21,3,1,15,0,3,MathException::getLocalizedMessage@172-174@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.MathException.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.MathException.java,MathException::getLocalizedMessage,MathException::getLocalizedMessage(),172,174
22,3,1,12,0,3,MathException::printStackTrace@180-182@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.MathException.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.MathException.java,MathException::printStackTrace,MathException::printStackTrace(),180,182
23,7,1,35,1,8,MathException::printStackTrace@190-197@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.MathException.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.MathException.java,MathException::printStackTrace,MathException::printStackTrace( PrintStream out),190,197
24,3,1,9,0,3,UnivariateRealSolverUtils::UnivariateRealSolverUtils@33-35@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils.java,UnivariateRealSolverUtils::UnivariateRealSolverUtils,UnivariateRealSolverUtils::UnivariateRealSolverUtils(),33,35
25,5,1,40,3,5,UnivariateRealSolverUtils::solve@51-55@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils.java,UnivariateRealSolverUtils::solve,"UnivariateRealSolverUtils::solve( UnivariateRealFunction f , double x0 , double x1)",51,55
26,8,1,55,4,9,UnivariateRealSolverUtils::solve@73-81@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils.java,UnivariateRealSolverUtils::solve,"UnivariateRealSolverUtils::solve( UnivariateRealFunction f , double x0 , double x1 , double absoluteAccuracy)",73,81
27,6,1,36,4,6,UnivariateRealSolverUtils::bracket@124-129@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed2/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils.java,UnivariateRealSolverUtils::bracket,"UnivariateRealSolverUtils::bracket( UnivariateRealFunction function , double initial , double lowerBound , double upperBound)",124,129
