,nloc,ccn,token_count,parameter_count,length,location,filepath,method_name,method_long_name,start_line,end_line
0,5,1,34,3,5,WeightedObservedPoint::WeightedObservedPoint@47-51@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.optimization.fitting.WeightedObservedPoint.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.optimization.fitting.WeightedObservedPoint.java,WeightedObservedPoint::WeightedObservedPoint,"WeightedObservedPoint::WeightedObservedPoint( final double weight , final double x , final double y)",47,51
1,3,1,8,0,3,WeightedObservedPoint::getWeight@56-58@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.optimization.fitting.WeightedObservedPoint.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.optimization.fitting.WeightedObservedPoint.java,WeightedObservedPoint::getWeight,WeightedObservedPoint::getWeight(),56,58
2,3,1,8,0,3,WeightedObservedPoint::getX@63-65@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.optimization.fitting.WeightedObservedPoint.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.optimization.fitting.WeightedObservedPoint.java,WeightedObservedPoint::getX,WeightedObservedPoint::getX(),63,65
3,3,1,8,0,3,WeightedObservedPoint::getY@70-72@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.optimization.fitting.WeightedObservedPoint.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.optimization.fitting.WeightedObservedPoint.java,WeightedObservedPoint::getY,WeightedObservedPoint::getY(),70,72
4,3,1,9,0,3,Gamma::Gamma@67-69@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.special.Gamma.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.special.Gamma.java,Gamma::Gamma,Gamma::Gamma(),67,69
5,17,4,146,1,21,Gamma::logGamma@88-108@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.special.Gamma.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.special.Gamma.java,Gamma::logGamma,Gamma::logGamma( double x),88,108
6,5,1,26,2,5,Gamma::regularizedGammaP@118-122@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.special.Gamma.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.special.Gamma.java,Gamma::regularizedGammaP,"Gamma::regularizedGammaP( double a , double x)",118,122
7,30,8,202,4,38,Gamma::regularizedGammaP@151-188@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.special.Gamma.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.special.Gamma.java,Gamma::regularizedGammaP,"Gamma::regularizedGammaP( double a , double x , double epsilon , int maxIterations)",151,188
8,5,1,26,2,5,Gamma::regularizedGammaQ@198-202@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.special.Gamma.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.special.Gamma.java,Gamma::regularizedGammaQ,"Gamma::regularizedGammaQ( double a , double x)",198,202
9,29,8,228,4,37,Gamma::regularizedGammaQ@226-262@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.special.Gamma.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.special.Gamma.java,Gamma::regularizedGammaQ,"Gamma::regularizedGammaQ( final double a , double x , double epsilon , int maxIterations)",226,262
10,10,4,98,1,18,Gamma::digamma@291-308@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.special.Gamma.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.special.Gamma.java,Gamma::digamma,Gamma::digamma( double x),291,308
11,10,4,98,1,16,Gamma::trigamma@320-335@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.special.Gamma.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.special.Gamma.java,Gamma::trigamma,Gamma::trigamma( double x),320,335
12,11,2,61,3,11,UnivariateRealSolverImpl::UnivariateRealSolverImpl@71-81@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl.java,UnivariateRealSolverImpl::UnivariateRealSolverImpl,"UnivariateRealSolverImpl::UnivariateRealSolverImpl( final UnivariateRealFunction f , final int defaultMaximalIterationCount , final double defaultAbsoluteAccuracy)",71,81
13,6,1,35,2,6,UnivariateRealSolverImpl::UnivariateRealSolverImpl@91-96@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl.java,UnivariateRealSolverImpl::UnivariateRealSolverImpl,"UnivariateRealSolverImpl::UnivariateRealSolverImpl( final int defaultMaximalIterationCount , final double defaultAbsoluteAccuracy)",91,96
14,5,2,22,0,5,UnivariateRealSolverImpl::checkResultComputed@101-105@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl.java,UnivariateRealSolverImpl::checkResultComputed,UnivariateRealSolverImpl::checkResultComputed(),101,105
15,4,1,12,0,4,UnivariateRealSolverImpl::getResult@108-111@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl.java,UnivariateRealSolverImpl::getResult,UnivariateRealSolverImpl::getResult(),108,111
16,4,1,12,0,4,UnivariateRealSolverImpl::getFunctionValue@114-117@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl.java,UnivariateRealSolverImpl::getFunctionValue,UnivariateRealSolverImpl::getFunctionValue(),114,117
17,3,1,12,1,3,UnivariateRealSolverImpl::setFunctionValueAccuracy@120-122@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl.java,UnivariateRealSolverImpl::setFunctionValueAccuracy,UnivariateRealSolverImpl::setFunctionValueAccuracy( final double accuracy),120,122
18,3,1,8,0,3,UnivariateRealSolverImpl::getFunctionValueAccuracy@125-127@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl.java,UnivariateRealSolverImpl::getFunctionValueAccuracy,UnivariateRealSolverImpl::getFunctionValueAccuracy(),125,127
19,3,1,9,0,3,UnivariateRealSolverImpl::resetFunctionValueAccuracy@130-132@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl.java,UnivariateRealSolverImpl::resetFunctionValueAccuracy,UnivariateRealSolverImpl::resetFunctionValueAccuracy(),130,132
20,6,1,36,2,6,UnivariateRealSolverImpl::setResult@140-145@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl.java,UnivariateRealSolverImpl::setResult,"UnivariateRealSolverImpl::setResult( final double result , final int iterationCount)",140,145
21,7,1,40,3,7,UnivariateRealSolverImpl::setResult@154-160@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl.java,UnivariateRealSolverImpl::setResult,"UnivariateRealSolverImpl::setResult( final double x , final double fx , final int iterationCount)",154,160
22,4,1,17,0,4,UnivariateRealSolverImpl::clearResult@165-168@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl.java,UnivariateRealSolverImpl::clearResult,UnivariateRealSolverImpl::clearResult(),165,168
23,7,4,63,3,7,UnivariateRealSolverImpl::isBracketing@180-186@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl.java,UnivariateRealSolverImpl::isBracketing,"UnivariateRealSolverImpl::isBracketing( final double lower , final double upper , final UnivariateRealFunction f)",180,186
24,3,2,29,3,3,UnivariateRealSolverImpl::isSequence@196-198@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl.java,UnivariateRealSolverImpl::isSequence,"UnivariateRealSolverImpl::isSequence( final double start , final double mid , final double end)",196,198
25,7,2,32,2,7,UnivariateRealSolverImpl::verifyInterval@208-214@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl.java,UnivariateRealSolverImpl::verifyInterval,"UnivariateRealSolverImpl::verifyInterval( final double lower , final double upper)",208,214
26,7,2,44,3,7,UnivariateRealSolverImpl::verifySequence@225-231@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl.java,UnivariateRealSolverImpl::verifySequence,"UnivariateRealSolverImpl::verifySequence( final double lower , final double initial , final double upper)",225,231
27,11,2,67,3,12,UnivariateRealSolverImpl::verifyBracketing@244-255@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverImpl.java,UnivariateRealSolverImpl::verifyBracketing,"UnivariateRealSolverImpl::verifyBracketing( final double lower , final double upper , final UnivariateRealFunction f)",244,255
28,3,1,9,0,3,UnivariateRealSolverUtils::UnivariateRealSolverUtils@33-35@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils.java,UnivariateRealSolverUtils::UnivariateRealSolverUtils,UnivariateRealSolverUtils::UnivariateRealSolverUtils(),33,35
29,4,1,35,3,4,UnivariateRealSolverUtils::solve@51-54@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils.java,UnivariateRealSolverUtils::solve,"UnivariateRealSolverUtils::solve( UnivariateRealFunction f , double x0 , double x1)",51,54
30,8,1,55,4,9,UnivariateRealSolverUtils::solve@72-80@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils.java,UnivariateRealSolverUtils::solve,"UnivariateRealSolverUtils::solve( UnivariateRealFunction f , double x0 , double x1 , double absoluteAccuracy)",72,80
31,6,1,36,4,6,UnivariateRealSolverUtils::bracket@123-128@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils.java,UnivariateRealSolverUtils::bracket,"UnivariateRealSolverUtils::bracket( UnivariateRealFunction function , double initial , double lowerBound , double upperBound)",123,128
32,33,11,218,5,38,UnivariateRealSolverUtils::bracket@164-201@/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils.java,/Users/haradakanon/Desktop/研究/実験データ/math85/math85_seed9/75/org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtils.java,UnivariateRealSolverUtils::bracket,"UnivariateRealSolverUtils::bracket( UnivariateRealFunction function , double initial , double lowerBound , double upperBound , int maximumIterations)",164,201
